source,latitude,longitude,requested_datetime,updated_datetime,closed_date,description,address
Phone Call,39.16685104,-86.53697205,2011-11-29T23:18:14-05:00,2016-09-11T22:02:05-04:00,2012-06-08T14:09:47-04:00,wall of Framemakers building had white spray paint on wall and door,"314 W Kirkwood AVE, Bloomington, IN, 47404"
Phone Call,39.17072678,-86.53314972,2011-11-29T23:20:34-05:00,2016-09-11T22:02:05-04:00,2012-06-13T11:57:32-04:00,3 areas of the exterior of the building of Lockerbie Court Condos had graffiti,"500 N Walnut ST, Bloomington, IN, 47408"
Phone Call,39.16743088,-86.54048157,2011-11-29T23:24:05-05:00,2016-09-11T22:02:05-04:00,2012-06-06T14:48:00-04:00,"""AESRO"" spray painted on a work van in front of residence.  Van owned by Gooldy & Sons, Inc.","615 W 6th ST, Bloomington, IN, 47404"
Phone Call,39.17005157,-86.52960968,2011-11-29T23:26:10-05:00,2016-09-11T22:02:05-04:00,2012-06-08T14:06:31-04:00,"graffiti of ""AERO LEGS"" spray painted on garage door at residence owned by Malcom Webb.","414 N Grant ST, Bloomington, IN, 47408"
Phone Call,39.16969299,-86.52936554,2011-11-29T23:28:56-05:00,2016-09-11T22:02:05-04:00,2012-06-06T14:46:27-04:00,"a van registered to Frenz & Schmidtknecht Inc. had ""AERO LEGS"" and ""TCB"" spray painted on it.","405 E 8th ST, Bloomington, IN, 47408"
Phone Call,39.15892029,-86.53658295,2011-11-29T23:32:21-05:00,2016-09-11T22:02:05-04:00,2012-06-13T11:53:42-04:00,"graffiti of ""I hate cops"" spray painted on building at Metropolitan Printing.","720 S Morton ST, Bloomington, IN, 47403"
Missing,39.16874313,-86.537117,2011-12-20T19:43:30-05:00,2016-09-11T22:02:05-04:00,2012-01-13T20:10:19-05:00,graffiti on trail.,"Bloomington Rail Trail, Bloomington, IN"
Missing,39.16398621,-86.58444977,2012-01-04T18:11:16-05:00,2016-09-11T22:02:05-04:00,2012-06-05T16:56:17-04:00,exterior wall to iu health patient accounts office was spray painted.  suspects located and request for warrant to sent to prosecutor - still pending,"4025 W 3rd ST, Bloomington, IN, 47403"
Missing,39.17148972,-86.52882385,2012-01-04T18:16:45-05:00,2016-09-11T22:02:05-04:00,2012-06-05T16:52:32-04:00,police report filed by employee of elkins apartment due to one side of apartment being spray painted,"526 N Prow AVE, Bloomington, IN, 47408"
Phone Call,,,2012-01-04T18:26:25-05:00,2016-09-11T22:02:05-04:00,2012-06-06T14:53:07-04:00,"Location is 7th and Oak Street.  Anti police graffiti on the round about in orange paint ""hatin cops"", ""kill cops"" and an anarchy symbol.","N Oak ST, Bloomington, IN"
Web Form,39.16698074,-86.53901672,2012-01-10T14:07:34-05:00,2016-09-11T22:02:05-04:00,2012-06-06T15:03:37-04:00,"graffiti on sidewalk in front of Salvation Army ""kill cops"" in chalk or paint.","111 N Rogers ST, Bloomington, IN, 47404"
Missing,39.13451767,-86.51043701,2012-01-11T15:19:36-05:00,2016-09-11T22:02:05-04:00,2012-01-13T20:16:04-05:00,Graffiti on barn door facing road,"1720 Durham Ln, Bloomington, IN"
Missing,39.17067337,-86.53224945,2012-02-10T20:02:04-05:00,2016-09-11T22:02:05-04:00,2012-02-10T20:23:15-05:00,hgtrfvh,"500-562 N Washington St, Bloomington, IN"
Police Report,,,2012-03-26T16:19:39-04:00,2016-09-11T22:02:05-04:00,2012-06-15T15:57:49-04:00,"""Kill Cops"" in yellow paint on wall of B-Line Trail near the intersection of Dodds and Morton - reported by Risk Mgt.",
Police Report,,,2012-03-26T16:29:58-04:00,2016-09-11T22:02:05-04:00,2012-04-06T14:56:02-04:00,"Utility box at the corner of 3rd and Walnut had ""DRIP"" spray painted in blue paint  (Reported 1/12-12)",
Police Report,,,2012-03-26T16:33:26-04:00,2016-09-11T22:02:05-04:00,2012-06-05T16:52:01-04:00,"(Reported 1/14/12 via police report)  3 signs in the Sherwood Oaks Park were spray painted with ""812"" ""KUSH"" ""KREW"" and a marijuana leaf in black paint.",E Elliston DR
Police Report,39.16769409,-86.53335571,2012-03-26T16:37:08-04:00,2016-09-11T22:02:05-04:00,2012-06-08T14:05:00-04:00,(Reported 1/17/12) Employee of subway restaurant reported graffiti on the ceiling of the restroom at restaurant.,"200 N Walnut ST, Bloomington, IN, 47408"
